*WYGENEROWANY SYGNAL
*PARAMETRY
@amplituda:	10.000000
:204	 :9.567121
:205	 :9.585218
:206	 :9.602937
:207	 :9.620277
:208	 :9.637237
:209	 :9.653816
:210	 :9.670015
:211	 :9.685832
:212	 :9.701266
:213	 :9.716317
:214	 :9.730985
:215	 :9.745269
:216	 :9.759168
:217	 :9.772681
:218	 :9.785809
:219	 :9.798551
:220	 :9.810905
:221	 :9.822873
:222	 :9.834452
:223	 :9.845643
:224	 :9.856446
:225	 :9.866859
:226	 :9.876883
:227	 :9.886517
:228	 :9.895761
:229	 :9.904614
:230	 :9.913076
:231	 :9.921147
:232	 :9.928826
:233	 :9.936113
:234	 :9.943008
:235	 :9.949510
:236	 :9.955620
:237	 :9.961336
:238	 :9.966659
:239	 :9.971589
:240	 :9.976125
:241	 :9.980267
:242	 :9.984016
:243	 :9.987370
:244	 :9.990329
:245	 :9.992895
:246	 :9.995066
:247	 :9.996842
:248	 :9.998224
:249	 :9.999210
:250	 :9.999803
:251	 :10.000000
:252	 :9.999803
:253	 :9.999210
:254	 :9.998224
:255	 :9.996842
:256	 :9.995066
:257	 :9.992895
:258	 :9.990329
:259	 :9.987370
:260	 :9.984016
:261	 :9.980267
:262	 :9.976125
:263	 :9.971589
:264	 :9.966659
:265	 :9.961336
:266	 :9.955620
:267	 :9.949510
:268	 :9.943008
:269	 :9.936113
:270	 :9.928826
:271	 :9.921147
:272	 :9.913076
:273	 :9.904614
:274	 :9.895761
:275	 :9.886517
:276	 :9.876883
:277	 :9.866859
:278	 :9.856446
:279	 :9.845643
:280	 :9.834452
:281	 :9.822873
:282	 :9.810905
:283	 :9.798551
:284	 :9.785809
:285	 :9.772681
:286	 :9.759168
:287	 :9.745269
:288	 :9.730985
:289	 :9.716317
:290	 :9.701266
:291	 :9.685832
:292	 :9.670015
:293	 :9.653816
:294	 :9.637237
:295	 :9.620277
:296	 :9.602937
:297	 :9.585218
:298	 :9.567121
:299	 :9.548645
:300	 :9.529793
:301	 :9.510565
:302	 :9.490961
:303	 :9.470983
:304	 :9.450631
:305	 :9.429905
:306	 :9.408808
:307	 :9.387339
:308	 :9.365499
:309	 :9.343289
:310	 :9.320711
:311	 :9.297765
:312	 :9.274452
:313	 :9.250772
:314	 :9.226727
:315	 :9.202318
:316	 :9.177546
:317	 :9.152412
:318	 :9.126916
:319	 :9.101060
:320	 :9.074844
:321	 :9.048271
:322	 :9.021340
:323	 :8.994053
:324	 :8.966410
:325	 :8.938414
:326	 :8.910065
:327	 :8.881364
:328	 :8.852313
:329	 :8.822912
:330	 :8.793163
:331	 :8.763067
:332	 :8.732625
:333	 :8.701838
:334	 :8.670707
:335	 :8.639234
:336	 :8.607420
:337	 :8.575267
:338	 :8.542774
:339	 :8.509945
:340	 :8.476779
:341	 :8.443279
:342	 :8.409446
:343	 :8.375280
:344	 :8.340784
:345	 :8.305959
:346	 :8.270806
:347	 :8.235326
:348	 :8.199521
:349	 :8.163393
:350	 :8.126942
:351	 :8.090170
:352	 :8.053079
:353	 :8.015670
:354	 :7.977944
:355	 :7.939904
:356	 :7.901550
:357	 :7.862884
:358	 :7.823908
:359	 :7.784623
:360	 :7.745031
:361	 :7.705132
:362	 :7.664930
:363	 :7.624425
:364	 :7.583619
:365	 :7.542514
:366	 :7.501111
:367	 :7.459411
:368	 :7.417418
:369	 :7.375131
:370	 :7.332553
:371	 :7.289686
:372	 :7.246531
:373	 :7.203090
:374	 :7.159365
:375	 :7.115357
:376	 :7.071068
:377	 :7.026500
:378	 :6.981654
:379	 :6.936533
:380	 :6.891138
:381	 :6.845471
:382	 :6.799534
:383	 :6.753328
:384	 :6.706856
:385	 :6.660119
:386	 :6.613119
:387	 :6.565858
:388	 :6.518337
:389	 :6.470560
:390	 :6.422527
:391	 :6.374240
:392	 :6.325702
:393	 :6.276914
:394	 :6.227878
:395	 :6.178596
:396	 :6.129071
:397	 :6.079303
:398	 :6.029295
:399	 :5.979050
:400	 :5.928568
:401	 :5.877853
:402	 :5.826905
:403	 :5.775727
:404	 :5.724321
:405	 :5.672689
:406	 :5.620834
:407	 :5.568756
:408	 :5.516459
:409	 :5.463943
:410	 :5.411213
:411	 :5.358268
:412	 :5.305112
:413	 :5.251746
:414	 :5.198173
:415	 :5.144395
:416	 :5.090414
:417	 :5.036232
:418	 :4.981851
:419	 :4.927273
:420	 :4.872501
:421	 :4.817537
:422	 :4.762382
:423	 :4.707039
:424	 :4.651511
:425	 :4.595799
:426	 :4.539905
:427	 :4.483832
:428	 :4.427582
:429	 :4.371158
:430	 :4.314560
:431	 :4.257793
:432	 :4.200857
:433	 :4.143756
:434	 :4.086491
:435	 :4.029064
:436	 :3.971479
:437	 :3.913737
:438	 :3.855840
:439	 :3.797791
:440	 :3.739592
:441	 :3.681246
:442	 :3.622754
:443	 :3.564119
:444	 :3.505343
:445	 :3.446429
:446	 :3.387379
:447	 :3.328195
:448	 :3.268880
:449	 :3.209436
:450	 :3.149865
:451	 :3.090170
:452	 :3.030353
:453	 :2.970416
:454	 :2.910362
:455	 :2.850193
:456	 :2.789911
:457	 :2.729519
:458	 :2.669020
:459	 :2.608415
:460	 :2.547707
:461	 :2.486899
:462	 :2.425992
:463	 :2.364990
:464	 :2.303894
:465	 :2.242708
:466	 :2.181432
:467	 :2.120071
:468	 :2.058626
:469	 :1.997100
:470	 :1.935495
:471	 :1.873813
:472	 :1.812058
:473	 :1.750231
:474	 :1.688334
:475	 :1.626372
:476	 :1.564345
:477	 :1.502256
:478	 :1.440108
:479	 :1.377903
:480	 :1.315644
:481	 :1.253332
:482	 :1.190972
:483	 :1.128564
:484	 :1.066112
:485	 :1.003617
:486	 :0.941083
:487	 :0.878512
:488	 :0.815906
:489	 :0.753268
:490	 :0.690600
:491	 :0.627905
:492	 :0.565185
:493	 :0.502443
:494	 :0.439681
:495	 :0.376902
:496	 :0.314108
:497	 :0.251301
:498	 :0.188484
:499	 :0.125660
:500	 :0.062831
:501	 :0.000000
:502	:-0.062831
:503	:-0.125660
:504	:-0.188484
:505	:-0.251301
:506	:-0.314108
:507	:-0.376902
:508	:-0.439681
:509	:-0.502443
:510	:-0.565185
:511	:-0.627905
:512	:-0.690600
:513	:-0.753268
:514	:-0.815906
:515	:-0.878512
:516	:-0.941083
:517	:-1.003617
:518	:-1.066112
:519	:-1.128564
:520	:-1.190972
:521	:-1.253332
:522	:-1.315644
:523	:-1.377903
:524	:-1.440108
:525	:-1.502256
:526	:-1.564345
:527	:-1.626372
:528	:-1.688334
:529	:-1.750231
:530	:-1.812058
:531	:-1.873813
:532	:-1.935495
:533	:-1.997100
:534	:-2.058626
:535	:-2.120071
:536	:-2.181432
:537	:-2.242708
:538	:-2.303894
:539	:-2.364990
:540	:-2.425992
:541	:-2.486899
:542	:-2.547707
:543	:-2.608415
:544	:-2.669020
:545	:-2.729519
:546	:-2.789911
:547	:-2.850193
:548	:-2.910362
:549	:-2.970416
:550	:-3.030353
:551	:-3.090170
:552	:-3.149865
:553	:-3.209436
:554	:-3.268880
:555	:-3.328195
:556	:-3.387379
:557	:-3.446429
:558	:-3.505343
:559	:-3.564119
:560	:-3.622754
:561	:-3.681246
:562	:-3.739592
:563	:-3.797791
:564	:-3.855840
:565	:-3.913737
:566	:-3.971479
:567	:-4.029064
:568	:-4.086491
:569	:-4.143756
:570	:-4.200857
:571	:-4.257793
:572	:-4.314560
:573	:-4.371158
:574	:-4.427582
:575	:-4.483832
:576	:-4.539905
:577	:-4.595799
:578	:-4.651511
:579	:-4.707039
:580	:-4.762382
:581	:-4.817537
:582	:-4.872501
:583	:-4.927273
:584	:-4.981851
:585	:-5.036232
:586	:-5.090414
:587	:-5.144395
:588	:-5.198173
:589	:-5.251746
:590	:-5.305112
:591	:-5.358268
:592	:-5.411213
:593	:-5.463943
:594	:-5.516459
:595	:-5.568756
:596	:-5.620834
:597	:-5.672689
:598	:-5.724321
:599	:-5.775727
:600	:-5.826905
:601	:-5.877853
:602	:-5.928568
:603	:-5.979050
:604	:-6.029295
:605	:-6.079303
:606	:-6.129071
:607	:-6.178596
:608	:-6.227878
:609	:-6.276914
:610	:-6.325702
:611	:-6.374240
:612	:-6.422527
:613	:-6.470560
:614	:-6.518337
:615	:-6.565858
:616	:-6.613119
:617	:-6.660119
:618	:-6.706856
:619	:-6.753328
:620	:-6.799534
:621	:-6.845471
:622	:-6.891138
:623	:-6.936533
:624	:-6.981654
:625	:-7.026500
:626	:-7.071068
:627	:-7.115357
:628	:-7.159365
:629	:-7.203090
:630	:-7.246531
:631	:-7.289686
:632	:-7.332553
:633	:-7.375131
:634	:-7.417418
:635	:-7.459411
:636	:-7.501111
:637	:-7.542514
:638	:-7.583619
:639	:-7.624425
:640	:-7.664930
:641	:-7.705132
:642	:-7.745031
:643	:-7.784623
:644	:-7.823908
:645	:-7.862884
:646	:-7.901550
:647	:-7.939904
:648	:-7.977944
:649	:-8.015670
:650	:-8.053079
:651	:-8.090170
:652	:-8.126942
:653	:-8.163393
:654	:-8.199521
:655	:-8.235326
:656	:-8.270806
:657	:-8.305959
:658	:-8.340784
:659	:-8.375280
:660	:-8.409446
:661	:-8.443279
:662	:-8.476779
:663	:-8.509945
:664	:-8.542774
:665	:-8.575267
:666	:-8.607420
:667	:-8.639234
:668	:-8.670707
:669	:-8.701838
:670	:-8.732625
:671	:-8.763067
:672	:-8.793163
:673	:-8.822912
:674	:-8.852313
:675	:-8.881364
:676	:-8.910065
:677	:-8.938414
:678	:-8.966410
:679	:-8.994053
:680	:-9.021340
:681	:-9.048271
:682	:-9.074844
:683	:-9.101060
:684	:-9.126916
:685	:-9.152412
:686	:-9.177546
:687	:-9.202318
:688	:-9.226727
:689	:-9.250772
:690	:-9.274452
:691	:-9.297765
:692	:-9.320711
:693	:-9.343289
:694	:-9.365499
:695	:-9.387339
:696	:-9.408808
:697	:-9.429905
:698	:-9.450631
:699	:-9.470983
:700	:-9.490961
:701	:-9.510565
:702	:-9.529793
:703	:-9.548645
:704	:-9.567121
:705	:-9.585218
:706	:-9.602937
:707	:-9.620277
:708	:-9.637237
:709	:-9.653816
:710	:-9.670015
:711	:-9.685832
:712	:-9.701266
:713	:-9.716317
:714	:-9.730985
:715	:-9.745269
:716	:-9.759168
:717	:-9.772681
:718	:-9.785809
:719	:-9.798551
:720	:-9.810905
:721	:-9.822873
:722	:-9.834452
:723	:-9.845643
:724	:-9.856446
:725	:-9.866859
:726	:-9.876883
:727	:-9.886517
:728	:-9.895761
:729	:-9.904614
:730	:-9.913076
:731	:-9.921147
:732	:-9.928826
:733	:-9.936113
:734	:-9.943008
:735	:-9.949510
:736	:-9.955620
:737	:-9.961336
:738	:-9.966659
:739	:-9.971589
:740	:-9.976125
:741	:-9.980267
:742	:-9.984016
:743	:-9.987370
:744	:-9.990329
:745	:-9.992895
:746	:-9.995066
:747	:-9.996842
:748	:-9.998224
:749	:-9.999210
:750	:-9.999803
:751	:-10.000000
:752	:-9.999803
:753	:-9.999210
:754	:-9.998224
:755	:-9.996842
:756	:-9.995066
:757	:-9.992895
:758	:-9.990329
:759	:-9.987370
:760	:-9.984016
:761	:-9.980267
:762	:-9.976125
:763	:-9.971589
:764	:-9.966659
:765	:-9.961336
:766	:-9.955620
:767	:-9.949510
:768	:-9.943008
:769	:-9.936113
:770	:-9.928826
:771	:-9.921147
:772	:-9.913076
:773	:-9.904614
:774	:-9.895761
:775	:-9.886517
:776	:-9.876883
:777	:-9.866859
:778	:-9.856446
:779	:-9.845643
:780	:-9.834452
:781	:-9.822873
:782	:-9.810905
:783	:-9.798551
:784	:-9.785809
:785	:-9.772681
:786	:-9.759168
:787	:-9.745269
:788	:-9.730985
:789	:-9.716317
:790	:-9.701266
:791	:-9.685832
:792	:-9.670015
:793	:-9.653816
:794	:-9.637237
:795	:-9.620277
:796	:-9.602937
:797	:-9.585218
:798	:-9.567121
:799	:-9.548645
:800	:-9.529793
:801	:-9.510565
:802	:-9.490961
:803	:-9.470983
:804	:-9.450631
:805	:-9.429905
:806	:-9.408808
:807	:-9.387339
:808	:-9.365499
:809	:-9.343289
:810	:-9.320711
:811	:-9.297765
:812	:-9.274452
:813	:-9.250772
:814	:-9.226727
:815	:-9.202318
:816	:-9.177546
:817	:-9.152412
:818	:-9.126916
:819	:-9.101060
:820	:-9.074844
:821	:-9.048271
:822	:-9.021340
:823	:-8.994053
:824	:-8.966410
:825	:-8.938414
:826	:-8.910065
:827	:-8.881364
:828	:-8.852313
:829	:-8.822912
:830	:-8.793163
:831	:-8.763067
:832	:-8.732625
:833	:-8.701838
:834	:-8.670707
:835	:-8.639234
:836	:-8.607420
:837	:-8.575267
:838	:-8.542774
:839	:-8.509945
:840	:-8.476779
:841	:-8.443279
:842	:-8.409446
:843	:-8.375280
:844	:-8.340784
:845	:-8.305959
:846	:-8.270806
:847	:-8.235326
:848	:-8.199521
:849	:-8.163393
:850	:-8.126942
:851	:-8.090170
:852	:-8.053079
:853	:-8.015670
:854	:-7.977944
:855	:-7.939904
:856	:-7.901550
:857	:-7.862884
:858	:-7.823908
:859	:-7.784623
:860	:-7.745031
:861	:-7.705132
:862	:-7.664930
:863	:-7.624425
:864	:-7.583619
:865	:-7.542514
:866	:-7.501111
:867	:-7.459411
:868	:-7.417418
:869	:-7.375131
:870	:-7.332553
:871	:-7.289686
:872	:-7.246531
:873	:-7.203090
:874	:-7.159365
:875	:-7.115357
:876	:-7.071068
:877	:-7.026500
:878	:-6.981654
:879	:-6.936533
:880	:-6.891138
:881	:-6.845471
:882	:-6.799534
:883	:-6.753328
:884	:-6.706856
:885	:-6.660119
:886	:-6.613119
:887	:-6.565858
:888	:-6.518337
:889	:-6.470560
:890	:-6.422527
:891	:-6.374240
:892	:-6.325702
:893	:-6.276914
:894	:-6.227878
:895	:-6.178596
:896	:-6.129071
:897	:-6.079303
:898	:-6.029295
:899	:-5.979050
:900	:-5.928568
:901	:-5.877853
:902	:-5.826905
:903	:-5.775727
:904	:-5.724321
:905	:-5.672689
:906	:-5.620834
:907	:-5.568756
:908	:-5.516459
:909	:-5.463943
:910	:-5.411213
:911	:-5.358268
:912	:-5.305112
:913	:-5.251746
:914	:-5.198173
:915	:-5.144395
:916	:-5.090414
:917	:-5.036232
:918	:-4.981851
:919	:-4.927273
:920	:-4.872501
:921	:-4.817537
:922	:-4.762382
:923	:-4.707039
:924	:-4.651511
:925	:-4.595799
:926	:-4.539905
:927	:-4.483832
:928	:-4.427582
:929	:-4.371158
:930	:-4.314560
:931	:-4.257793
:932	:-4.200857
:933	:-4.143756
:934	:-4.086491
:935	:-4.029064
:936	:-3.971479
:937	:-3.913737
:938	:-3.855840
:939	:-3.797791
:940	:-3.739592
:941	:-3.681246
:942	:-3.622754
:943	:-3.564119
:944	:-3.505343
:945	:-3.446429
:946	:-3.387379
:947	:-3.328195
:948	:-3.268880
:949	:-3.209436
:950	:-3.149865
:951	:-3.090170
:952	:-3.030353
:953	:-2.970416
:954	:-2.910362
:955	:-2.850193
:956	:-2.789911
:957	:-2.729519
:958	:-2.669020
:959	:-2.608415
:960	:-2.547707
:961	:-2.486899
:962	:-2.425992
:963	:-2.364990
:964	:-2.303894
:965	:-2.242708
:966	:-2.181432
:967	:-2.120071
:968	:-2.058626
:969	:-1.997100
:970	:-1.935495
:971	:-1.873813
:972	:-1.812058
:973	:-1.750231
:974	:-1.688334
:975	:-1.626372
:976	:-1.564345
:977	:-1.502256
:978	:-1.440108
:979	:-1.377903
:980	:-1.315644
:981	:-1.253332
:982	:-1.190972
:983	:-1.128564
:984	:-1.066112
:985	:-1.003617
:986	:-0.941083
:987	:-0.878512
:988	:-0.815906
:989	:-0.753268
:990	:-0.690600
:991	:-0.627905
:992	:-0.565185
:993	:-0.502443
:994	:-0.439681
:995	:-0.376902
:996	:-0.314108
:997	:-0.251301
:998	:-0.188484
:999	:-0.125660
:1000	:-0.062831
