*WYGENEROWANY SYGNAL
*PARAMETRY
@amplituda:	15.000000
:208	 :15.832855
:209	 :14.432725
:210	 :13.350022
:211	 :13.652747
:212	 :14.719899
:213	 :14.073476
:214	 :13.879478
:215	 :14.032903
:216	 :15.139751
:217	 :14.167022
:218	 :14.702714
:219	 :14.205826
:220	 :14.155358
:221	 :15.706309
:222	 :14.547678
:223	 :14.261465
:224	 :14.685669
:225	 :16.138289
:226	 :14.458325
:227	 :13.611776
:228	 :14.951642
:229	 :13.860921
:230	 :15.877614
:231	 :15.016721
:232	 :13.840239
:233	 :14.757170
:234	 :14.035512
:235	 :13.502265
:236	 :13.676429
:237	 :14.966004
:238	 :13.464989
:239	 :15.005384
:240	 :15.873188
:241	 :15.837401
:242	 :16.458023
:243	 :14.225054
:244	 :14.925494
:245	 :14.530342
:246	 :15.925598
:247	 :15.253263
:248	 :13.935335
:249	 :15.004816
:250	 :15.446704
:251	 :14.100000
:252	 :14.474704
:253	 :15.241816
:254	 :16.365335
:255	 :15.148263
:256	 :13.768598
:257	 :15.637342
:258	 :14.112494
:259	 :15.638054
:260	 :14.493023
:261	 :14.931401
:262	 :15.597188
:263	 :16.382384
:264	 :14.259989
:265	 :14.723004
:266	 :14.171429
:267	 :15.665265
:268	 :13.492512
:269	 :13.965170
:270	 :13.588239
:271	 :16.108721
:272	 :15.031614
:273	 :15.183921
:274	 :16.289642
:275	 :14.442776
:276	 :13.813325
:277	 :14.155289
:278	 :14.784669
:279	 :13.556465
:280	 :13.965678
:281	 :16.003309
:282	 :13.348358
:283	 :15.132826
:284	 :15.833714
:285	 :14.743022
:286	 :15.283751
:287	 :13.429903
:288	 :16.060478
:289	 :15.633476
:290	 :15.112899
:291	 :14.795747
:292	 :15.921022
:293	 :14.393725
:294	 :14.056855
:295	 :15.345415
:296	 :13.051405
:297	 :15.199827
:298	 :14.626681
:299	 :15.765968
:300	 :13.163690
:301	 :15.633848
:302	 :13.615442
:303	 :12.970475
:304	 :13.413946
:305	 :14.855858
:306	 :14.386212
:307	 :15.578008
:308	 :12.752248
:309	 :14.041934
:310	 :13.579067
:311	 :14.942647
:312	 :15.390677
:313	 :12.703158
:314	 :13.606091
:315	 :13.158478
:316	 :13.490319
:317	 :12.450618
:318	 :13.525374
:319	 :12.292590
:320	 :12.655266
:321	 :13.506406
:322	 :12.359009
:323	 :13.197079
:324	 :12.171616
:325	 :13.995621
:326	 :13.848098
:327	 :11.924047
:328	 :12.897470
:329	 :13.660368
:330	 :13.501745
:331	 :13.726600
:332	 :12.660937
:333	 :14.027756
:334	 :13.861061
:335	 :12.937851
:336	 :14.090130
:337	 :13.918900
:338	 :11.926161
:339	 :11.570917
:340	 :11.728169
:341	 :12.415919
:342	 :11.837169
:343	 :13.450921
:344	 :12.337177
:345	 :11.429938
:346	 :12.055209
:347	 :13.786989
:348	 :13.529282
:349	 :11.834089
:350	 :11.806412
:351	 :11.724255
:352	 :13.306618
:353	 :10.709505
:354	 :12.611917
:355	 :13.208856
:356	 :12.791325
:357	 :10.540326
:358	 :11.435862
:359	 :11.253935
:360	 :12.769546
:361	 :11.881699
:362	 :10.366395
:363	 :12.747638
:364	 :10.571429
:365	 :12.333771
:366	 :11.731666
:367	 :10.943117
:368	 :12.509127
:369	 :11.830697
:370	 :12.252830
:371	 :12.314529
:372	 :10.461797
:373	 :11.134635
:374	 :10.577047
:375	 :10.310035
:376	 :9.301602
:377	 :9.888750
:378	 :10.862481
:379	 :9.489800
:380	 :9.553707
:381	 :8.894207
:382	 :10.922301
:383	 :11.521992
:384	 :11.146284
:385	 :9.087178
:386	 :9.577678
:387	 :11.249786
:388	 :11.148506
:389	 :9.537839
:390	 :8.688790
:391	 :10.662360
:392	 :9.299552
:393	 :10.408370
:394	 :9.509817
:395	 :7.968894
:396	 :10.519606
:397	 :8.368954
:398	 :8.425943
:399	 :10.039575
:400	 :9.171852
:401	 :9.113779
:402	 :9.124357
:403	 :9.044591
:404	 :9.573482
:405	 :7.585034
:406	 :8.818251
:407	 :8.863134
:408	 :7.752688
:409	 :7.073915
:410	 :7.660819
:411	 :7.092402
:412	 :6.682668
:413	 :7.865619
:414	 :8.082260
:415	 :7.593593
:416	 :8.964621
:417	 :6.459348
:418	 :7.898777
:419	 :7.687910
:420	 :8.430752
:421	 :6.950305
:422	 :6.171573
:423	 :8.194559
:424	 :6.485266
:425	 :7.172698
:426	 :5.381857
:427	 :8.192748
:428	 :5.726373
:429	 :7.477736
:430	 :6.147841
:431	 :4.988689
:432	 :5.461286
:433	 :6.680634
:434	 :5.370736
:435	 :6.874597
:436	 :6.209218
:437	 :6.683605
:438	 :4.754760
:439	 :6.944686
:440	 :5.216388
:441	 :5.845868
:442	 :6.406131
:443	 :6.060178
:444	 :5.852015
:445	 :5.511644
:446	 :4.265069
:447	 :6.033293
:448	 :4.216320
:449	 :5.423154
:450	 :4.454798
:451	 :3.150255
:452	 :5.337529
:453	 :4.647624
:454	 :3.621543
:455	 :3.087289
:456	 :4.379867
:457	 :4.166279
:458	 :4.756530
:459	 :5.172623
:460	 :3.227561
:461	 :4.528348
:462	 :3.968988
:463	 :2.128485
:464	 :3.215841
:465	 :4.414061
:466	 :3.926149
:467	 :1.950107
:468	 :1.623939
:469	 :4.264650
:470	 :4.280242
:471	 :1.493720
:472	 :2.880086
:473	 :1.338346
:474	 :3.297502
:475	 :3.126557
:476	 :1.506517
:477	 :1.503384
:478	 :2.844162
:479	 :2.342854
:480	 :1.025465
:481	 :2.944999
:482	 :0.364457
:483	 :2.211846
:484	 :2.076167
:485	 :0.728426
:486	 :0.166625
:487	 :2.679768
:488	 :1.607859
:489	 :2.368902
:490	 :2.247900
:491	:-0.306142
:492	 :0.574778
:493	 :0.312665
:494	 :1.952522
:495	 :0.211353
:496	 :1.227161
:497	 :1.663951
:498	 :0.180727
:499	 :0.356491
:500	 :0.274247
:501	:-0.015000
:502	:-0.940247
:503	:-1.061491
:504	 :1.196273
:505	 :1.063049
:506	 :0.152839
:507	 :0.343647
:508	 :0.291478
:509	 :0.041335
:510	:-1.027778
:511	:-2.183858
:512	:-0.444900
:513	 :0.055098
:514	:-0.623859
:515	:-1.821768
:516	:-2.335625
:517	:-2.888426
:518	:-0.375167
:519	:-0.903846
:520	:-0.460457
:521	:-1.483999
:522	:-1.205465
:523	:-3.305854
:524	:-2.883162
:525	:-1.263384
:526	:-2.058517
:527	:-2.925557
:528	:-3.360502
:529	:-1.860346
:530	:-2.553086
:531	:-2.171720
:532	:-2.873242
:533	:-2.887650
:534	:-1.854939
:535	:-2.589107
:536	:-4.250149
:537	:-4.411061
:538	:-4.367841
:539	:-3.673485
:540	:-4.340988
:541	:-5.164348
:542	:-3.821561
:543	:-5.070623
:544	:-3.769530
:545	:-3.248279
:546	:-5.549867
:547	:-5.496289
:548	:-5.694543
:549	:-3.684624
:550	:-4.026529
:551	:-3.747255
:552	:-4.205798
:553	:-4.295154
:554	:-3.445320
:555	:-4.851293
:556	:-5.300069
:557	:-4.683644
:558	:-6.458015
:559	:-5.958178
:560	:-4.450131
:561	:-5.167868
:562	:-5.957388
:563	:-6.668686
:564	:-5.060760
:565	:-6.968605
:566	:-5.951218
:567	:-5.395597
:568	:-6.399736
:569	:-5.459634
:570	:-5.299286
:571	:-7.295689
:572	:-5.148841
:573	:-5.491736
:574	:-7.244373
:575	:-6.848748
:576	:-7.484857
:577	:-5.903698
:578	:-5.909266
:579	:-8.332559
:580	:-6.294573
:581	:-7.319305
:582	:-8.439752
:583	:-8.161910
:584	:-6.266777
:585	:-6.306348
:586	:-7.086621
:587	:-7.347593
:588	:-7.632260
:589	:-9.230619
:590	:-7.957668
:591	:-7.095402
:592	:-9.604819
:593	:-9.443915
:594	:-7.272688
:595	:-7.231134
:596	:-7.036251
:597	:-9.670034
:598	:-7.740482
:599	:-8.786591
:600	:-8.383357
:601	:-7.802779
:602	:-9.843852
:603	:-9.352575
:604	:-9.694943
:605	:-10.216954
:606	:-9.934606
:607	:-8.481894
:608	:-10.181817
:609	:-8.116370
:610	:-10.211552
:611	:-9.615360
:612	:-10.332790
:613	:-10.566839
:614	:-8.892506
:615	:-8.366786
:616	:-10.033678
:617	:-9.714178
:618	:-11.230284
:619	:-9.961992
:620	:-9.749301
:621	:-11.075207
:622	:-10.816707
:623	:-9.843800
:624	:-10.052481
:625	:-9.993750
:626	:-11.746602
:627	:-9.947035
:628	:-9.365047
:629	:-10.813635
:630	:-10.884797
:631	:-9.518529
:632	:-11.772830
:633	:-10.108697
:634	:-9.905127
:635	:-11.657117
:636	:-12.448666
:637	:-11.625771
:638	:-11.159429
:639	:-10.254638
:640	:-12.814395
:641	:-11.821699
:642	:-10.531546
:643	:-12.318935
:644	:-11.834862
:645	:-13.084326
:646	:-11.912325
:647	:-11.726856
:648	:-11.573917
:649	:-13.361505
:650	:-10.975618
:651	:-13.248255
:652	:-11.338412
:653	:-11.108089
:654	:-13.238282
:655	:-13.564989
:656	:-12.775209
:657	:-13.298938
:658	:-12.802177
:659	:-12.370921
:660	:-12.218169
:661	:-12.421919
:662	:-12.766169
:663	:-13.349917
:664	:-13.114161
:665	:-12.094900
:666	:-12.572130
:667	:-12.802851
:668	:-12.319061
:669	:-12.293756
:670	:-12.447937
:671	:-14.287600
:672	:-12.916745
:673	:-13.525368
:674	:-12.252470
:675	:-12.494047
:676	:-14.334098
:677	:-13.251621
:678	:-11.964616
:679	:-14.322079
:680	:-14.618009
:681	:-15.054406
:682	:-14.308266
:683	:-13.837590
:684	:-12.607374
:685	:-13.110618
:686	:-12.455319
:687	:-14.838478
:688	:-13.045091
:689	:-12.586158
:690	:-12.573677
:691	:-12.746647
:692	:-14.200067
:693	:-15.016934
:694	:-15.335248
:695	:-12.887008
:696	:-15.028212
:697	:-13.352858
:698	:-15.633946
:699	:-14.158475
:700	:-14.509442
:701	:-12.822848
:702	:-15.257690
:703	:-14.631968
:704	:-14.578681
:705	:-13.786827
:706	:-15.643405
:707	:-14.967415
:708	:-13.594855
:709	:-15.350725
:710	:-14.769022
:711	:-15.683747
:712	:-13.963899
:713	:-15.954476
:714	:-13.219478
:715	:-15.748903
:716	:-14.983751
:717	:-14.980022
:718	:-14.861714
:719	:-13.488826
:720	:-15.193358
:721	:-15.745309
:722	:-13.377678
:723	:-15.095465
:724	:-13.527669
:725	:-13.936289
:726	:-16.081325
:727	:-13.674776
:728	:-13.496642
:729	:-15.918921
:730	:-15.682614
:731	:-13.390721
:732	:-13.669239
:733	:-15.111170
:734	:-15.010512
:735	:-15.269265
:736	:-14.078429
:737	:-15.122004
:738	:-15.381989
:739	:-13.961384
:740	:-14.895188
:741	:-14.076401
:742	:-16.086023
:743	:-16.265054
:744	:-15.093494
:745	:-13.885342
:746	:-15.589598
:747	:-16.084263
:748	:-15.114335
:749	:-16.135816
:750	:-16.196704
:751	:-13.968000
:752	:-14.621704
:753	:-13.927816
:754	:-14.943335
:755	:-15.835263
:756	:-13.552598
:757	:-15.940342
:758	:-15.243494
:759	:-14.093054
:760	:-14.493023
:761	:-16.404401
:762	:-14.799188
:763	:-16.043384
:764	:-15.366989
:765	:-16.082004
:766	:-16.073429
:767	:-13.730265
:768	:-14.461512
:769	:-15.330170
:770	:-15.547239
:771	:-13.390721
:772	:-14.353614
:773	:-15.342921
:774	:-15.533642
:775	:-15.864776
:776	:-13.864325
:777	:-15.337289
:778	:-14.013669
:779	:-14.039465
:780	:-15.486678
:781	:-16.099309
:782	:-15.154358
:783	:-14.268826
:784	:-15.332714
:785	:-15.961022
:786	:-15.793751
:787	:-13.465903
:788	:-13.546478
:789	:-13.389476
:790	:-14.614899
:791	:-14.858747
:792	:-15.063022
:793	:-14.783725
:794	:-13.171855
:795	:-14.265415
:796	:-13.690405
:797	:-15.562827
:798	:-14.458681
:799	:-14.478968
:800	:-12.854690
:801	:-13.953848
:802	:-15.112442
:803	:-13.951475
:804	:-13.008946
:805	:-14.567858
:806	:-13.384212
:807	:-14.027008
:808	:-13.805248
:809	:-15.370934
:810	:-14.185067
:811	:-13.196647
:812	:-13.107677
:813	:-14.308158
:814	:-12.679091
:815	:-14.238478
:816	:-14.480319
:817	:-13.719618
:818	:-12.559374
:819	:-12.496590
:820	:-14.914266
:821	:-13.068406
:822	:-12.242009
:823	:-13.227079
:824	:-13.923616
:825	:-13.689621
:826	:-14.400098
:827	:-14.078047
:828	:-12.960470
:829	:-13.510368
:830	:-14.437745
:831	:-14.128600
:832	:-13.356937
:833	:-12.506756
:834	:-12.061061
:835	:-13.129851
:836	:-12.419130
:837	:-11.899900
:838	:-13.555161
:839	:-14.021917
:840	:-12.526169
:841	:-11.497919
:842	:-13.691169
:843	:-12.538921
:844	:-11.512177
:845	:-12.623938
:846	:-11.065209
:847	:-13.744989
:848	:-12.506282
:849	:-11.660089
:850	:-11.977412
:851	:-13.296255
:852	:-12.685618
:853	:-10.580505
:854	:-10.520917
:855	:-12.002856
:856	:-12.872325
:857	:-11.029326
:858	:-11.879862
:859	:-11.802935
:860	:-12.934546
:861	:-12.082699
:862	:-10.540395
:863	:-10.713638
:864	:-12.758429
:865	:-10.773771
:866	:-10.573666
:867	:-10.712117
:868	:-10.982127
:869	:-11.782697
:870	:-11.820830
:871	:-10.580529
:872	:-11.616797
:873	:-10.804635
:874	:-12.128047
:875	:-10.820035
:876	:-10.162602
:877	:-10.716750
:878	:-9.767481
:879	:-10.803800
:880	:-9.928707
:881	:-11.588207
:882	:-10.577301
:883	:-10.237992
:884	:-10.012284
:885	:-10.425178
:886	:-10.396678
:887	:-9.617786
:888	:-8.685506
:889	:-9.459839
:890	:-10.497790
:891	:-9.549360
:892	:-8.375552
:893	:-9.853370
:894	:-8.327817
:895	:-10.326894
:896	:-8.602606
:897	:-9.595954
:898	:-8.533943
:899	:-7.657575
:900	:-9.009852
:901	:-8.387779
:902	:-9.004357
:903	:-7.442591
:904	:-9.735482
:905	:-8.734034
:906	:-7.894251
:907	:-7.492134
:908	:-8.340688
:909	:-8.159915
:910	:-8.671819
:911	:-7.368402
:912	:-8.245668
:913	:-7.373619
:914	:-8.082260
:915	:-7.392593
:916	:-8.973621
:917	:-6.828348
:918	:-7.472777
:919	:-6.343910
:920	:-6.510752
:921	:-6.209305
:922	:-6.546573
:923	:-6.199559
:924	:-7.481266
:925	:-7.610698
:926	:-7.529857
:927	:-6.380748
:928	:-6.116373
:929	:-5.071736
:930	:-7.014841
:931	:-4.916689
:932	:-5.248286
:933	:-6.383634
:934	:-5.172736
:935	:-5.806597
:936	:-4.910218
:937	:-5.690605
:938	:-4.871760
:939	:-5.486686
:940	:-5.849388
:941	:-6.943868
:942	:-5.524131
:943	:-6.318178
:944	:-6.707015
:945	:-4.746644
:946	:-4.826069
:947	:-4.683293
:948	:-4.765320
:949	:-3.608154
:950	:-3.977798
:951	:-3.390255
:952	:-3.255529
:953	:-5.556624
:954	:-3.417543
:955	:-3.633289
:956	:-3.968867
:957	:-3.938279
:958	:-3.901530
:959	:-5.220623
:960	:-3.194561
:961	:-3.358348
:962	:-4.490988
:963	:-3.916485
:964	:-4.745841
:965	:-2.257061
:966	:-3.332149
:967	:-4.575107
:968	:-2.142939
:969	:-2.431650
:970	:-2.039242
:971	:-4.016720
:972	:-3.015086
:973	:-1.560346
:974	:-3.309502
:975	:-1.758557
:976	:-3.240517
:977	:-2.190384
:978	:-2.721162
:979	:-0.635854
:980	:-0.503465
:981	:-2.605999
:982	:-2.998457
:983	:-0.570846
:984	:-1.407167
:985	:-1.034426
:986	:-1.675625
:987	:-0.498768
:988	:-2.462859
:989	:-1.234902
:990	:-0.750900
:991	:-0.023858
:992	 :0.598222
:993	 :0.137335
:994	:-1.217522
:995	:-0.064353
:996	:-0.366161
:997	:-1.375951
:998	:-0.429727
:999	 :1.290509
:1000	:-1.189247
